symptoms,disease,symptoms_processed
"skin rash,high fever,blister,red sore around nose,yellow crust ooze",Impetigo,skin rash high fever blister red sore around nose yellow crust ooze
"vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload",Alcoholic Hepatitis,vomit yellowish skin abdominal pain swell stomach distention abdomen history alcohol consumption fluid overload
"joint pain,neck pain,knee pain,hip joint pain,swelling joints,painful walking",Osteoarthristis,joint pain neck pain knee pain hip joint pain swell joint painful walk
"vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload",Alcoholic Hepatitis,vomit yellowish skin abdominal pain swell stomach distention abdomen history alcohol consumption fluid overload
"I've been feeling dizzy and lightheaded, and I've been having trouble balancing. I've also had a headache that won't go away.",Hypertension,feel dizzy lightheaded trouble balance also headache go away
"fatigue,cramps,bruising,obesity,swollen legs,prominent veins on calf",Varicose Veins,fatigue cramp bruise obesity swell legs prominent vein calf
"continuous sneezing,shivering,watering from eyes",Allergy,continuous sneeze shiver water eye
"joint pain,neck pain,knee pain,hip joint pain,swelling joints,painful walking",Osteoarthristis,joint pain neck pain knee pain hip joint pain swell joint painful walk
"fatigue,mood swings,weight loss,restlessness,sweating,diarrhoea,fast heart rate,excessive hunger,muscle weakness,irritability,abnormal menstruation",Hyperthyroidism,fatigue mood swing weight loss restlessness sweat diarrhoea fast heart rate excessive hunger muscle weakness irritability abnormal menstruation
"joint pain,vomiting,fatigue,high fever,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes,acute liver failure,coma,stomach bleeding",Hepatitis E,joint pain vomit fatigue high fever yellowish skin dark urine nausea loss appetite abdominal pain yellow eye acute liver failure coma stomach bleeding
"I have a cough that won't go away, and I'm having trouble breathing. I'm also really weak and tired, and my fever is really high. I'm coughing up a lot of mucus, and I'm really angry and frustrated.",Bronchial Asthma,cough go away trouble breathe also really weak tire fever really high coughing lot mucus really angry frustrate
"vomiting,indigestion,loss of appetite,abdominal pain,passage of gases,internal itching",Peptic Ulcer Diseae,vomit indigestion loss appetite abdominal pain passage gas internal itching
"vomiting,indigestion,loss of appetite,abdominal pain,internal itching",Peptic Ulcer Diseae,vomit indigestion loss appetite abdominal pain internal itching
"vomiting,breathlessness,sweating,chest pain",Heart Attack,vomit breathlessness sweat chest pain
"chills,vomiting,fatigue,weight loss,cough,high fever,sweating,loss of appetite,mild fever,yellowing of eyes,swelled lymph nodes,malaise,phlegm,chest pain,blood in sputum",Tuberculosis,chill vomit fatigue weight loss cough high fever sweat loss appetite mild fever yellow eye swell lymph node malaise phlegm chest pain blood sputum
"I've been experiencing neck pain, vertigo, and instability. I've also been having a chronic cough and limb weakness.",Cervical Spondylosis,experience neck pain vertigo instability also chronic cough limb weakness
"fatigue,mood swings,weight loss,restlessness,diarrhoea,fast heart rate,excessive hunger,muscle weakness,irritability,abnormal menstruation",Hyperthyroidism,fatigue mood swing weight loss restlessness diarrhoea fast heart rate excessive hunger muscle weakness irritability abnormal menstruation
"stomach pain,acidity,ulcers on tongue,vomiting,cough",Gerd,stomach pain acidity ulcer tongue vomit cough
"itching,yellowish skin,nausea,loss of appetite,abdominal pain,yellowing of eyes",Chronic Cholestasis,itch yellowish skin nausea loss appetite abdominal pain yellow eye
"muscle weakness,stiff neck,swelling joints,movement stiffness,painful walking",Arthritis,muscle weakness stiff neck swell joint movement stiffness painful walking
"joint pain,neck pain,knee pain,hip joint pain,swelling joints,painful walking",Osteoarthristis,joint pain neck pain knee pain hip joint pain swell joint painful walk
"itching,fatigue,lethargy,yellowish skin,dark urine,loss of appetite,abdominal pain,yellow urine,yellowing of eyes,malaise,receiving blood transfusion,receiving unsterile injections",Hepatitis B,itch fatigue lethargy yellowish skin dark urine loss appetite abdominal pain yellow urine yellow eye malaise receive blood transfusion receive unsterile injection
"vomiting,sunken eyes,dehydration,diarrhoea",Gastroenteritis,vomit sunken eye dehydration diarrhoea
"I have a burning sensation when I pee, and my lower abdomen hurts. I also have a low temperature and feel weak.",Urinary Tract Infection,burn sensation pee low abdomen hurt also low temperature feel weak
"skin rash,pus filled pimples,blackheads,scurring",Acne,skin rash pu fill pimple blackhead scurring
"fatigue,bruising,obesity,swollen legs,swollen blood vessels,prominent veins on calf",Varicose Veins,fatigue bruise obesity swell legs swollen blood vessel prominent vein calf
"chills,vomiting,fatigue,weight loss,cough,high fever,breathlessness,sweating,loss of appetite,mild fever,yellowing of eyes,swelled lymph nodes,malaise,phlegm,chest pain,blood in sputum",Tuberculosis,chill vomit fatigue weight loss cough high fever breathlessness sweat loss appetite mild fever yellow eye swell lymph node malaise phlegm chest pain blood sputum
"vomiting,breathlessness,sweating,chest pain",Heart Attack,vomit breathlessness sweat chest pain
"vomiting,headache,nausea,spinning movements,loss of balance,unsteadiness",(Vertigo) Paroymsal  Positional Vertigo,vomit headache nausea spin movement loss balance unsteadiness
"itching,skin rash,nodal skin eruptions",Fungal Infection,itch skin rash nodal skin eruption
"constipation,pain during bowel movements,pain in anal region,bloody stool,irritation in anus",Dimorphic Hemmorhoids(Piles),constipation pain bowel movement pain anal region bloody stool irritation anus
"itching,skin rash,stomach pain,burning micturition,spotting  urination",Drug Reaction,itch skin rash stomach pain burn micturition spot urination
"joint pain,vomiting,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes",Hepatitis D,joint pain vomit yellowish skin dark urine nausea loss appetite abdominal pain yellow eye
I have a hard time swallowing and I feel like food is getting stuck in my throat. I belch a lot and feel bloated. I have a bad taste in my mouth all the time.,Peptic Ulcer Disease,hard time swallow feel like food get stuck throat belch lot feel bloated bad taste mouth time
"skin rash,joint pain,skin peeling,silver like dusting,small dents in nails,inflammatory nails",Psoriasis,skin rash joint pain skin peeling silver like dust small dent nails inflammatory nail
"chills,vomiting,fatigue,weight loss,cough,high fever,sweating,loss of appetite,mild fever,yellowing of eyes,swelled lymph nodes,malaise,phlegm,chest pain,blood in sputum",Tuberculosis,chill vomit fatigue weight loss cough high fever sweat loss appetite mild fever yellow eye swell lymph node malaise phlegm chest pain blood sputum
"I've been having a lot of pain in my joints, especially my knees and hips. I've also been feeling really stiff and it's hard to move around.",Arthritis,lot pain joint especially knee hip also feel really stiff hard move around
"back pain,weakness in limbs,neck pain,dizziness,loss of balance",Cervical Spondylosis,back pain weakness limb neck pain dizziness loss balance
"stomach pain,ulcers on tongue,vomiting,cough,chest pain",Gerd,stomach pain ulcer tongue vomit cough chest pain
"itching,vomiting,yellowish skin,nausea,loss of appetite,abdominal pain,yellowing of eyes",Chronic Cholestasis,itch vomit yellowish skin nausea loss appetite abdominal pain yellow eye
"muscle weakness,stiff neck,swelling joints,movement stiffness,painful walking",Arthritis,muscle weakness stiff neck swell joint movement stiffness painful walking
"I have dry, flaky patches of skin that are prone to infection. My joints are in a lot of pain. The skin on my knees and elbows is starting to flake.",Psoriasis,dry flaky patch skin prone infection joint lot pain skin knee elbow start flake
"itching,fatigue,lethargy,yellowish skin,dark urine,loss of appetite,abdominal pain,yellow urine,yellowing of eyes,malaise,receiving blood transfusion,receiving unsterile injections",Hepatitis B,itch fatigue lethargy yellowish skin dark urine loss appetite abdominal pain yellow urine yellow eye malaise receive blood transfusion receive unsterile injection
"itching,fatigue,lethargy,yellowish skin,dark urine,loss of appetite,abdominal pain,yellow urine,yellowing of eyes,malaise,receiving blood transfusion,receiving unsterile injections",Hepatitis B,itch fatigue lethargy yellowish skin dark urine loss appetite abdominal pain yellow urine yellow eye malaise receive blood transfusion receive unsterile injection
"itching,nodal skin eruptions,dischromic  patches",Fungal Infection,itch nodal skin eruption dischromic patch
"cramps,bruising,obesity,swollen legs,swollen blood vessels,prominent veins on calf",Varicose Veins,cramp bruise obesity swell legs swollen blood vessel prominent vein calf
"fatigue,mood swings,weight loss,restlessness,sweating,diarrhoea,fast heart rate,excessive hunger,muscle weakness,irritability,abnormal menstruation",Hyperthyroidism,fatigue mood swing weight loss restlessness sweat diarrhoea fast heart rate excessive hunger muscle weakness irritability abnormal menstruation
"joint pain,vomiting,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,diarrhoea,mild fever,yellowing of eyes,muscle pain",Hepatitis A,joint pain vomit yellowish skin dark urine nausea loss appetite abdominal pain diarrhoea mild fever yellow eye muscle pain
"vomiting,headache,nausea,loss of balance,unsteadiness",(Vertigo) Paroymsal  Positional Vertigo,vomit headache nausea loss balance unsteadiness
"joint pain,neck pain,knee pain,hip joint pain,swelling joints,painful walking",Osteoarthristis,joint pain neck pain knee pain hip joint pain swell joint painful walk
"weakness in limbs,neck pain,dizziness,loss of balance",Cervical Spondylosis,weakness limb neck pain dizziness loss balance
"sunken eyes,dehydration,diarrhoea",Gastroenteritis,sunken eye dehydration diarrhoea
"joint pain,neck pain,knee pain,hip joint pain,swelling joints,painful walking",Osteoarthristis,joint pain neck pain knee pain hip joint pain swell joint painful walk
"joint pain,vomiting,fatigue,high fever,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes,acute liver failure,coma,stomach bleeding",Hepatitis E,joint pain vomit fatigue high fever yellowish skin dark urine nausea loss appetite abdominal pain yellow eye acute liver failure coma stomach bleeding
"vomiting,indigestion,loss of appetite,abdominal pain,internal itching",Peptic Ulcer Diseae,vomit indigestion loss appetite abdominal pain internal itching
"itching,skin rash,fatigue,lethargy,high fever,headache,loss of appetite,mild fever,swelled lymph nodes,malaise,red spots over body",Chicken Pox,itch skin rash fatigue lethargy high fever headache loss appetite mild fever swell lymph node malaise red spot body
"fatigue,restlessness,lethargy,irregular sugar level,blurred and distorted vision,obesity,excessive hunger,increased appetite,polyuria",Diabetes,fatigue restlessness lethargy irregular sugar level blur distorted vision obesity excessive hunger increase appetite polyuria
I'm feeling really hot. I can't breathe well. I'm sweating a lot. I'm shaking. I'm really tired. My heart is beating fast. I have some brown stuff coming up when I cough.,Pneumonia,feel really hot breathe well sweat lot shake really tired heart beat fast brown stuff come cough
"chills,vomiting,high fever,sweating,nausea,diarrhoea,muscle pain",Malaria,chill vomit high fever sweat nausea diarrhoea muscle pain
"vomiting,fatigue,weight loss,high fever,yellowish skin,dark urine,abdominal pain",Jaundice,vomit fatigue weight loss high fever yellowish skin dark urine abdominal pain
"I have a stiff neck and eye issues, and I've been hungry all the time.",Migraine,stiff neck eye issue hungry time
"itching,skin rash,nodal skin eruptions",Fungal Infection,itch skin rash nodal skin eruption
"chills,vomiting,fatigue,weight loss,cough,high fever,breathlessness,sweating,loss of appetite,mild fever,yellowing of eyes,swelled lymph nodes,malaise,phlegm,chest pain,blood in sputum",Tuberculosis,chill vomit fatigue weight loss cough high fever breathlessness sweat loss appetite mild fever yellow eye swell lymph node malaise phlegm chest pain blood sputum
"itching,skin rash,lethargy,high fever,headache,loss of appetite,mild fever,swelled lymph nodes,malaise,red spots over body",Chicken Pox,itch skin rash lethargy high fever headache loss appetite mild fever swell lymph node malaise red spot body
"vomiting,breathlessness,sweating,chest pain",Heart Attack,vomit breathlessness sweat chest pain
"vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload",Alcoholic Hepatitis,vomit yellowish skin abdominal pain swell stomach distention abdomen history alcohol consumption fluid overload
"stomach pain,acidity,ulcers on tongue,vomiting,cough,chest pain",Gerd,stomach pain acidity ulcer tongue vomit cough chest pain
"vomiting,sunken eyes,dehydration,diarrhoea",Gastroenteritis,vomit sunken eye dehydration diarrhoea
"continuous sneezing,shivering,chills,watering from eyes",Allergy,continuous sneeze shiver chill water eye
I have been experiencing neck pain and feeling lightheaded and unstable on my feet.,Cervical Spondylosis,experience neck pain feeling lightheaded unstable foot
"fatigue,weight loss,restlessness,lethargy,blurred and distorted vision,obesity,excessive hunger,increased appetite,polyuria",Diabetes,fatigue weight loss restlessness lethargy blur distorted vision obesity excessive hunger increase appetite polyuria
"constipation,pain in anal region,bloody stool,irritation in anus",Dimorphic Hemmorhoids(Piles),constipation pain anal region bloody stool irritation anus
"bladder discomfort,foul smell of urine,continuous feel of urine",Urinary Tract Infection,bladder discomfort foul smell urine continuous feel urine
"itching,fatigue,lethargy,dark urine,loss of appetite,abdominal pain,yellow urine,yellowing of eyes,malaise,receiving blood transfusion,receiving unsterile injections",Hepatitis B,itch fatigue lethargy dark urine loss appetite abdominal pain yellow urine yellow eye malaise receive blood transfusion receive unsterile injection
"chills,vomiting,high fever,sweating,headache,nausea,diarrhoea,muscle pain",Malaria,chill vomit high fever sweat headache nausea diarrhoea muscle pain
I have a bruise on my leg and the skin around the veins is dry and flaky. My legs have started to swell.,Varicose Veins,bruise leg skin around vein dry flaky leg start swell
"I've been losing weight and feeling sick to my stomach. My skin is yellow, and I have a fever. My urine is dark, and my stomach hurts.",Jaundice,lose weight feel sick stomach skin yellow fever urine dark stomach hurt
"joint pain,vomiting,fatigue,high fever,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes,acute liver failure,coma,stomach bleeding",Hepatitis E,joint pain vomit fatigue high fever yellowish skin dark urine nausea loss appetite abdominal pain yellow eye acute liver failure coma stomach bleeding
"muscle weakness,stiff neck,swelling joints,movement stiffness,painful walking",Arthritis,muscle weakness stiff neck swell joint movement stiffness painful walking
"constipation,pain during bowel movements,bloody stool,irritation in anus",Dimorphic Hemmorhoids(Piles),constipation pain bowel movement bloody stool irritation anus
"vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload",Alcoholic Hepatitis,vomit yellowish skin abdominal pain swell stomach distention abdomen history alcohol consumption fluid overload
"continuous sneezing,chills,fatigue,cough,headache,swelled lymph nodes,malaise,phlegm,throat irritation,redness of eyes,sinus pressure,runny nose,congestion,chest pain,loss of smell,muscle pain",Common Cold,continuous sneeze chill fatigue cough headache swell lymph node malaise phlegm throat irritation redness eye sinus pressure runny nose congestion chest pain loss smell muscle pain
"vomiting,headache,weakness of one body side,altered sensorium",Paralysis (Brain Hemorrhage),vomit headache weakness one body side alter sensorium
"itching,skin rash,nodal skin eruptions",Fungal Infection,itch skin rash nodal skin eruption
"patches in throat,high fever,extra marital contacts",Aids,patch throat high fever extra marital contact
"skin rash,pus filled pimples,blackheads,scurring",Acne,skin rash pu fill pimple blackhead scurring
"continuous sneezing,chills,fatigue,cough,high fever,headache,swelled lymph nodes,malaise,phlegm,throat irritation,redness of eyes,sinus pressure,runny nose,congestion,chest pain,loss of smell,muscle pain",Common Cold,continuous sneeze chill fatigue cough high fever headache swell lymph node malaise phlegm throat irritation redness eye sinus pressure runny nose congestion chest pain loss smell muscle pain
"stomach pain,acidity,ulcers on tongue,vomiting,cough,chest pain",Gerd,stomach pain acidity ulcer tongue vomit cough chest pain
"joint pain,vomiting,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,diarrhoea,mild fever,yellowing of eyes,muscle pain",Hepatitis A,joint pain vomit yellowish skin dark urine nausea loss appetite abdominal pain diarrhoea mild fever yellow eye muscle pain
"itching,fatigue,lethargy,yellowish skin,dark urine,loss of appetite,abdominal pain,yellow urine,yellowing of eyes,malaise,receiving blood transfusion,receiving unsterile injections",Hepatitis B,itch fatigue lethargy yellowish skin dark urine loss appetite abdominal pain yellow urine yellow eye malaise receive blood transfusion receive unsterile injection
"chills,vomiting,high fever,sweating,headache,nausea,diarrhoea,muscle pain",Malaria,chill vomit high fever sweat headache nausea diarrhoea muscle pain
"back pain,weakness in limbs,dizziness,loss of balance",Cervical Spondylosis,back pain weakness limbs dizziness loss balance
"vomiting,sunken eyes,dehydration,diarrhoea",Gastroenteritis,vomit sunken eye dehydration diarrhoea
"fatigue,mood swings,weight loss,sweating,diarrhoea,fast heart rate,excessive hunger,muscle weakness,irritability,abnormal menstruation",Hyperthyroidism,fatigue mood swing weight loss sweat diarrhoea fast heart rate excessive hunger muscle weakness irritability abnormal menstruation
I have a fever and a headache. I have sores near my nose and rashes on my neck. I'm really struggling right now.,Impetigo,fever headache sore near nose rash neck really struggle right
"muscle wasting,patches in throat,high fever",Aids,muscle waste patch throat high fever
"I have to go to the bathroom a lot, but only a little comes out. My stomach hurts, and I can't control my need to pee.",Urinary Tract Infection,go bathroom lot little come stomach hurt control need pee
"Common signs and symptoms of GERD include: GERD  A burning sensation in your chest (heartburn), usually after eating, which might be worse at night or while lying down Backwash (regurgitation) of food or sour liquid Upper abdominal or chest pain Trouble swallowing (dysphagia) Sensation of a lump in your throat  If you have nighttime acid reflux, you might also experience:  An ongoing cough Inflammation of the vocal cords (laryngitis) New or worsening asthma",Gerd,"common sign symptom gerd include gerd burn sensation chest heartburn ), usually eat might worse night lie backwash regurgitation food sour liquid upper abdominal chest pain trouble swallow dysphagia sensation lump throat nighttime acid reflux might also experience ongoing cough inflammation vocal cord laryngitis new worsen asthma"
"stomach pain,acidity,ulcers on tongue,vomiting,cough,chest pain",Gerd,stomach pain acidity ulcer tongue vomit cough chest pain
"joint pain,vomiting,fatigue,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes",Hepatitis D,joint pain vomit fatigue yellowish skin dark urine nausea loss appetite abdominal pain yellow eye
"acidity,indigestion,headache,blurred and distorted vision,excessive hunger,stiff neck,depression,irritability,visual disturbances",Migraine,acidity indigestion headache blur distorted vision excessive hunger stiff neck depression irritability visual disturbance
"itching,fatigue,lethargy,yellowish skin,dark urine,loss of appetite,abdominal pain,yellow urine,yellowing of eyes,malaise,receiving blood transfusion,receiving unsterile injections",Hepatitis B,itch fatigue lethargy yellowish skin dark urine loss appetite abdominal pain yellow urine yellow eye malaise receive blood transfusion receive unsterile injection
"itching,skin rash,stomach pain,burning micturition,spotting  urination",Drug Reaction,itch skin rash stomach pain burn micturition spot urination
"chills,vomiting,high fever,sweating,headache,nausea,muscle pain",Malaria,chill vomit high fever sweat headache nausea muscle pain
"joint pain,vomiting,fatigue,high fever,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes,acute liver failure,coma,stomach bleeding",Hepatitis E,joint pain vomit fatigue high fever yellowish skin dark urine nausea loss appetite abdominal pain yellow eye acute liver failure coma stomach bleeding
"continuous sneezing,chills,fatigue,cough,high fever,headache,swelled lymph nodes,malaise,phlegm,throat irritation,redness of eyes,sinus pressure,runny nose,congestion,chest pain,loss of smell,muscle pain",Common Cold,continuous sneeze chill fatigue cough high fever headache swell lymph node malaise phlegm throat irritation redness eye sinus pressure runny nose congestion chest pain loss smell muscle pain
I've been experiencing stiffness and weakness in my neck muscles recently. My joints have grown stiff and it's hard for me to run without getting stiff. Walking is also very uncomfortable.,Arthritis,experience stiffness weakness neck muscle recently joint grown stiff hard run without get stiff walking also uncomfortable
"vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload",Alcoholic Hepatitis,vomit yellowish skin abdominal pain swell stomach distention abdomen history alcohol consumption fluid overload
"skin rash,blackheads,scurring",Acne,skin rash blackhead scurring
"stomach pain,acidity,ulcers on tongue,cough,chest pain",Gerd,stomach pain acidity ulcer tongue cough chest pain
"fatigue,mood swings,weight loss,restlessness,sweating,diarrhoea,fast heart rate,muscle weakness,irritability,abnormal menstruation",Hyperthyroidism,fatigue mood swing weight loss restlessness sweat diarrhoea fast heart rate muscle weakness irritability abnormal menstruation
"itching,vomiting,yellowish skin,nausea,loss of appetite,abdominal pain,yellowing of eyes",Chronic Cholestasis,itch vomit yellowish skin nausea loss appetite abdominal pain yellow eye
"indigestion,loss of appetite,abdominal pain,passage of gases,internal itching",Peptic Ulcer Diseae,indigestion loss appetite abdominal pain passage gas internal itching
I have been having rashes on my skin. The rash is itchy and bleeds when I scratch it. I have also noticed small dents in my nails.,Psoriasis,rash skin rash itchy bleeds scratch also notice small dent nail
"muscle wasting,patches in throat,high fever,extra marital contacts",Aids,muscle waste patch throat high fever extra marital contact
"chills,fatigue,cough,high fever,breathlessness,sweating,malaise,phlegm,chest pain,fast heart rate,rusty sputum",Pneumonia,chill fatigue cough high fever breathlessness sweat malaise phlegm chest pain fast heart rate rusty sputum
"itching,fatigue,lethargy,yellowish skin,dark urine,loss of appetite,abdominal pain,yellow urine,yellowing of eyes,malaise,receiving blood transfusion,receiving unsterile injections",Hepatitis B,itch fatigue lethargy yellowish skin dark urine loss appetite abdominal pain yellow urine yellow eye malaise receive blood transfusion receive unsterile injection
"fatigue,cough,high fever,breathlessness,family history,mucoid sputum",Bronchial Asthma,fatigue cough high fever breathlessness family history mucoid sputum
"headache,chest pain,loss of balance,lack of concentration",Hypertension,headache chest pain loss balance lack concentration
"stomach pain,acidity,ulcers on tongue,vomiting,cough,chest pain",Gerd,stomach pain acidity ulcer tongue vomit cough chest pain
"continuous sneezing,shivering,chills",Allergy,continuous sneeze shiver chill
"itching,fatigue,lethargy,yellowish skin,dark urine,loss of appetite,abdominal pain,yellow urine,yellowing of eyes,malaise,receiving blood transfusion,receiving unsterile injections",Hepatitis B,itch fatigue lethargy yellowish skin dark urine loss appetite abdominal pain yellow urine yellow eye malaise receive blood transfusion receive unsterile injection
"chills,vomiting,fatigue,cough,high fever,breathlessness,sweating,loss of appetite,mild fever,yellowing of eyes,swelled lymph nodes,malaise,phlegm,chest pain,blood in sputum",Tuberculosis,chill vomit fatigue cough high fever breathlessness sweat loss appetite mild fever yellow eye swell lymph node malaise phlegm chest pain blood sputum
"vomiting,sunken eyes,diarrhoea",Gastroenteritis,vomit sunken eye diarrhoea
"cramps,bruising,obesity,swollen legs,swollen blood vessels,prominent veins on calf",Varicose Veins,cramp bruise obesity swell legs swollen blood vessel prominent vein calf
"fatigue,cramps,bruising,obesity,swollen legs,swollen blood vessels,prominent veins on calf",Varicose Veins,fatigue cramp bruise obesity swell legs swollen blood vessel prominent vein calf
"headache,chest pain,dizziness,loss of balance,lack of concentration",Hypertension,headache chest pain dizziness loss balance lack concentration
"fatigue,cough,high fever,breathlessness,family history,mucoid sputum",Bronchial Asthma,fatigue cough high fever breathlessness family history mucoid sputum
"fatigue,yellowish skin,loss of appetite,yellowing of eyes,family history",Hepatitis C,fatigue yellowish skin loss appetite yellow eye family history
"fatigue,mood swings,weight loss,restlessness,sweating,diarrhoea,fast heart rate,excessive hunger,muscle weakness,irritability,abnormal menstruation",Hyperthyroidism,fatigue mood swing weight loss restlessness sweat diarrhoea fast heart rate excessive hunger muscle weakness irritability abnormal menstruation
"vomiting,breathlessness,sweating",Heart Attack,vomit breathlessness sweating
"fatigue,yellowish skin,nausea,loss of appetite,yellowing of eyes,family history",Hepatitis C,fatigue yellowish skin nausea loss appetite yellow eye family history
"fatigue,mood swings,weight loss,restlessness,sweating,diarrhoea,fast heart rate,excessive hunger,muscle weakness,irritability,abnormal menstruation",Hyperthyroidism,fatigue mood swing weight loss restlessness sweat diarrhoea fast heart rate excessive hunger muscle weakness irritability abnormal menstruation
"constipation,pain during bowel movements,pain in anal region,bloody stool,irritation in anus",Dimorphic Hemmorhoids(Piles),constipation pain bowel movement pain anal region bloody stool irritation anus
"headache,weakness of one body side,altered sensorium",Paralysis (Brain Hemorrhage),headache weakness one body side alter sensorium
"itching,vomiting,nausea,loss of appetite,abdominal pain,yellowing of eyes",Chronic Cholestasis,itch vomit nausea loss appetite abdominal pain yellow eye
"chills,vomiting,fatigue,weight loss,cough,high fever,breathlessness,sweating,loss of appetite,mild fever,yellowing of eyes,swelled lymph nodes,malaise,phlegm,chest pain,blood in sputum",Tuberculosis,chill vomit fatigue weight loss cough high fever breathlessness sweat loss appetite mild fever yellow eye swell lymph node malaise phlegm chest pain blood sputum
"joint pain,vomiting,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,diarrhoea,mild fever,yellowing of eyes,muscle pain",Hepatitis A,joint pain vomit yellowish skin dark urine nausea loss appetite abdominal pain diarrhoea mild fever yellow eye muscle pain
"fatigue,cough,high fever,breathlessness,family history,mucoid sputum",Bronchial Asthma,fatigue cough high fever breathlessness family history mucoid sputum
"itching,skin rash,stomach pain,burning micturition,spotting  urination",Drug Reaction,itch skin rash stomach pain burn micturition spot urination
"neck pain,knee pain,hip joint pain,swelling joints,painful walking",Osteoarthristis,neck pain knee pain hip joint pain swell joint painful walk
"fatigue,cramps,bruising,obesity,swollen legs,swollen blood vessels,prominent veins on calf",Varicose Veins,fatigue cramp bruise obesity swell legs swollen blood vessel prominent vein calf
"joint pain,vomiting,fatigue,high fever,yellowish skin,nausea,loss of appetite,abdominal pain,yellowing of eyes,acute liver failure,coma,stomach bleeding",Hepatitis E,joint pain vomit fatigue high fever yellowish skin nausea loss appetite abdominal pain yellow eye acute liver failure coma stomach bleeding
"acidity,indigestion,headache,blurred and distorted vision,excessive hunger,stiff neck,depression,irritability",Migraine,acidity indigestion headache blur distorted vision excessive hunger stiff neck depression irritability
"constipation,pain during bowel movements,pain in anal region,irritation in anus",Dimorphic Hemmorhoids(Piles),constipation pain bowel movement pain anal region irritation anus
"fatigue,cough,high fever,breathlessness,sweating,malaise,phlegm,chest pain,fast heart rate,rusty sputum",Pneumonia,fatigue cough high fever breathlessness sweat malaise phlegm chest pain fast heart rate rusty sputum
"vomiting,sunken eyes,dehydration,diarrhoea",Gastroenteritis,vomit sunken eye dehydration diarrhoea
"skin rash,high fever,blister,red sore around nose,yellow crust ooze",Impetigo,skin rash high fever blister red sore around nose yellow crust ooze
"fatigue,cramps,bruising,obesity,swollen legs,swollen blood vessels,prominent veins on calf",Varicose Veins,fatigue cramp bruise obesity swell legs swollen blood vessel prominent vein calf
"vomiting,headache,nausea,spinning movements,loss of balance,unsteadiness",(Vertigo) Paroymsal  Positional Vertigo,vomit headache nausea spin movement loss balance unsteadiness
"vomiting,sunken eyes,dehydration,diarrhoea",Gastroenteritis,vomit sunken eye dehydration diarrhoea
"weight loss,restlessness,lethargy,irregular sugar level,blurred and distorted vision,obesity,excessive hunger,increased appetite,polyuria",Diabetes,weight loss restlessness lethargy irregular sugar level blur distorted vision obesity excessive hunger increase appetite polyuria
"itching,skin rash,fatigue,lethargy,high fever,headache,loss of appetite,swelled lymph nodes,malaise,red spots over body",Chicken Pox,itch skin rash fatigue lethargy high fever headache loss appetite swell lymph node malaise red spot body
"continuous sneezing,shivering,chills,watering from eyes",Allergy,continuous sneeze shiver chill water eye
"itching,skin rash,nodal skin eruptions,dischromic  patches",Fungal Infection,itch skin rash nodal skin eruption dischromic patch
"continuous sneezing,shivering,chills,watering from eyes",Allergy,continuous sneeze shiver chill water eye
"skin rash,fatigue,lethargy,high fever,headache,loss of appetite,mild fever,swelled lymph nodes,malaise,red spots over body",Chicken Pox,skin rash fatigue lethargy high fever headache loss appetite mild fever swell lymph node malaise red spot body
"constipation,pain during bowel movements,pain in anal region,bloody stool,irritation in anus",Dimorphic Hemmorhoids(Piles),constipation pain bowel movement pain anal region bloody stool irritation anus
"skin rash,chills,joint pain,vomiting,fatigue,high fever,headache,nausea,loss of appetite,pain behind the eyes,back pain,malaise,muscle pain,red spots over body",Dengue,skin rash chill joint pain vomit fatigue high fever headache nausea loss appetite pain behind eye back pain malaise muscle pain red spot body
"itching,vomiting,fatigue,weight loss,high fever,yellowish skin,dark urine",Jaundice,itch vomit fatigue weight loss high fever yellowish skin dark urine
"itching,fatigue,lethargy,yellowish skin,dark urine,loss of appetite,abdominal pain,yellow urine,yellowing of eyes,malaise,receiving blood transfusion,receiving unsterile injections",Hepatitis B,itch fatigue lethargy yellowish skin dark urine loss appetite abdominal pain yellow urine yellow eye malaise receive blood transfusion receive unsterile injection
"headache,chest pain,dizziness,loss of balance",Hypertension,headache chest pain dizziness loss balance
"muscle wasting,patches in throat,high fever,extra marital contacts",Aids,muscle waste patch throat high fever extra marital contact
"itching,skin rash,stomach pain,spotting  urination",Drug Reaction,itch skin rash stomach pain spot urination
